,,,,,,,,,,,,,,,
user_name,email,phone_number,year_of_birth,intervention,is_hr,is_employee,eid,level,date_of_offer,date_of_joining,status,marital_status,gender,branch,salary
AC,AC@mail.com,5362715217,1804,Health,FALSE,TRUE,299,Senior Manager,"5 Feb, 2013","1 Mar, 2013",Resigned,married,female,Mumbai,283566
AD,AD@mail.com,1757927428,1984,Research,FALSE,TRUE,302,Senior Project Head,"11 Feb, 2013","18 Apr, 2013",Active,unmarried,male,Bangalore,258199
AE,AE@mail.com,9918635032,1777,Umang,FALSE,TRUE,304,Senior Officer,"22 May, 2013","27 May, 2013",Active,unmarried,male,Delhi,67646
AF,AF@mail.com,8217479024,1787,Unnati,FALSE,TRUE,308,Senior Officer,"22 May, 2013","27 May, 2013",Resigned,married,female,Delhi,43872
AG,AG@mail.com,4471266850,1776,Parvarish,FALSE,TRUE,314,Senior Assistant Manager,"25 Mar, 2013","1 Jun, 2013",Retired,unmarried,female,Delhi,821539
AH,AH@mail.com,5240525734,1949,Umang,FALSE,TRUE,335,Senior Officer,"15 Jul, 2013","16 Jul, 2013",Active,married,male,Mumbai,852953
AI,AI@mail.com,3831562396,1807,Excel,FALSE,TRUE,339,Senior Officer,NA,"25 Jul, 2013",Active,unmarried,female,Mumbai,774650
AJ,AJ@mail.com,5352511949,1773,Guru,FALSE,TRUE,347,Coordinator,NA,"19 Aug, 2013",Active,unmarried,female,Mumbai,451750
AK,AK@mail.com,2510196788,1702,Guru,FALSE,TRUE,349,Coordinator,NA,"2 Sep, 2013",Active,unmarried,female,Mumbai,254119
AL,AL@mail.com,8375913896,1756,Parvarish,FALSE,TRUE,367,Senior Assistant Manager,NA,"16 Jan, 2014",Retired,unmarried,male,Bangalore,426755
AM,AM@mail.com,2431743591,1704,IT,FALSE,TRUE,371,Manager,NA,"26 Feb, 2014",Active,married,male,Delhi,475730
AN,AN@mail.com,2948014647,1769,Finance/Trust,FALSE,TRUE,374,Senior Officer,NA,"11 Mar, 2014",Active,unmarried,male,Delhi,531274
AO,AO@mail.com,1716814099,1776,Excel,FALSE,TRUE,381,Manager,"13 May, 2014","19 May, 2014",Active,unmarried,male,Pune,171634
AP,AP@mail.com,8469085993,1996,Digital Learning Solutions,FALSE,TRUE,386,Senior Assistant Manager,"23 Apr, 2014","19 May, 2014",Resigned,unmarried,female,Delhi,583487
AQ,AQ@mail.com,9204334073,1842,Health,FALSE,TRUE,387,Senior Assistant Manager,NA,"19 May, 2014",Active,married,male,Delhi,433054
AR,AR@mail.com,4906707524,1757,Umang,FALSE,TRUE,394,Senior Officer,NA,"26 May, 2014",Active,unmarried,female,Mumbai,636158
AS,AS@mail.com,8740205204,1739,School Coordination Dept,FALSE,TRUE,395,Senior Officer,"29 Apr, 2014","26 May, 2014",Active,unmarried,male,Bangalore,29942
AT,AT@mail.com,9311984600,1794,Umang,FALSE,TRUE,396,Senior Officer,NA,"26 May, 2014",Resigned,unmarried,male,Mumbai,611534
AU,AU@mail.com,2596320641,1840,Umang,FALSE,TRUE,399,Senior Officer,NA,"26 May, 2014",Active,unmarried,female,Bangalore,452514
AV,AV@mail.com,6635236219,1986,Umang,FALSE,TRUE,402,Senior Officer,NA,"26 May, 2014",Active,unmarried,female,Bangalore,653325
AW,AW@mail.com,3080552069,1835,Umang,FALSE,TRUE,408,Senior Officer,NA,"2 Jun, 2014",Active,unmarried,male,Delhi,335881
AX,AX@mail.com,3506967717,1808,Parvarish,FALSE,TRUE,413,Senior Assistant Manager,"22 May, 2014","3 Jun, 2014",Active,unmarried,male,Mumbai,366111
AY,AY@mail.com,1870024489,1779,Digital Learning Solutions,FALSE,TRUE,427,Coordinator,"17 Jun, 2014","26 Jun, 2014",Active,unmarried,female,Delhi,294064
AZ,AZ@mail.com,6336452686,1707,Digital Learning Solutions,FALSE,TRUE,429,Senior Coordinator,NA,"1 Jul, 2014",Retired,unmarried,female,Mumbai,451135
AAA,AAA@mail.com,3234139569,1828,Author: Transferred from Udaan to Excel wef 17 Feb 2020 Excel,FALSE,TRUE,434,Senior Officer,NA,"21 Jul, 2014",Active,unmarried,male,Mumbai,687439
AAE,AAE@mail.com,4773504167,1967,Umang,FALSE,TRUE,440,Senior Officer,NA,"4 Aug, 2014",Active,unmarried,female,Bangalore,498540
AAB,AAB@mail.com,2022036668,1794,Parvarish,FALSE,TRUE,446,Senior Officer,NA,"8 Sep, 2014",Active,unmarried,female,Delhi,288287
AAC,AAC@mail.com,3355778365,1750,HR & Admin,FALSE,TRUE,458,Senior Officer,NA,"20 Nov, 2014",Active,unmarried,female,Mumbai,551813
AAD,AAD@mail.com,5304366636,1780,Umang,FALSE,TRUE,471,Senior Officer,"23 Jan, 2015","27 Jan, 2015",Resigned,unmarried,male,Pune,346124
AAE,AAE@mail.com,6965397888,1719,School Coordination Dept,FALSE,TRUE,481,Coordinator,"17 Feb, 2015","16 Mar, 2015",Active,married,female,Bangalore,200113
AAF,AAF@mail.com,4421839555,1779,HR & Admin,FALSE,TRUE,487,Coordinator,NA,"13 Apr, 2015",Active,unmarried,female,Pune,462760
AAEA,AAEA@mail.com,9569859188,1731,Umang,FALSE,TRUE,489,Manager,"26 Feb, 2015","28 Apr, 2015",Active,unmarried,male,Mumbai,332581
AAF,AAF@mail.com,7159160383,1978,Lead 1,FALSE,TRUE,490,Senior Officer,NA,"28 Apr, 2015",Active,unmarried,female,Mumbai,229881
AAH,AAH@mail.com,1995845485,1898,Author: Transferred from Udaan to Guru wef 1 Feb 2020 Guru,FALSE,TRUE,494,Senior Officer,"30 Apr, 2015","4 May, 2015",Active,unmarried,male,Mumbai,862422
AAI,AAI@mail.com,5746363886,1976,Whole School Turn Around Project,FALSE,TRUE,497,Senior Manager,NA,"4 May, 2015",Active,married,male,Mumbai,278735
AAK,AAK@mail.com,2209582775,1925,Umang,FALSE,TRUE,498,Assistant Manager,NA,"11 May, 2015",Active,unmarried,female,Mumbai,114001
AAL,AAL@mail.com,1880761829,1996,Health,FALSE,TRUE,502,Assistant Manager,"25 Apr, 2015","18 May, 2015",Unknown,unmarried,female,Bangalore,45415
AAE,AAE@mail.com,4069223557,1917,Umang,FALSE,TRUE,514,Senior Officer,"30 Apr, 2015","22 May, 2015",Active,unmarried,female,Mumbai,517387
AAP,AAP@mail.com,7570877154,1821,Umang,FALSE,TRUE,521,Senior Officer,NA,"22 May, 2015",Active,unmarried,female,Delhi,70287
AAN,AAN@mail.com,4039413677,1946,Digital Learning Solutions,FALSE,TRUE,524,Senior Coordinator,NA,"25 May, 2015",Active,unmarried,male,Mumbai,180328
AAM,AAM@mail.com,1653801495,1992,Health,FALSE,TRUE,560,Senior Officer,NA,"22 Jun, 2015",Active,unmarried,male,Delhi,549019
AAB,AAB@mail.com,8985027688,1949,Unnati,FALSE,TRUE,566,Senior Coordinator,NA,"29 Jun, 2015",Active,unmarried,female,Pune,678839
AAC,AAC@mail.com,2522899253,1994,Guru,FALSE,TRUE,574,Senior Officer,NA,"2 Jul, 2015",Active,unmarried,female,Delhi,464403
AAV,AAV@mail.com,8437612974,1814,Finance/Trust,FALSE,TRUE,575,Chief Executive Officer,"30 Mar, 2015","6 Jul, 2015",Active,unmarried,female,Mumbai,625039
AAX,AAX@mail.com,2427454998,1787,School Coordination Dept,FALSE,TRUE,576,Senior Coordinator,NA,"6 Jul, 2015",Active,married,female,Mumbai,224920
AAZ,AAZ@mail.com,8755286944,1999,Author: Transferred from Udaan to Health wef 1Apr20 Health,FALSE,TRUE,579,Senior Officer,NA,"8 Jul, 2015",Active,unmarried,female,Pune,713250
AALA,AALA@mail.com,7547627442,1986,Unnati,FALSE,TRUE,589,Senior Manager,NA,"20 Jul, 2015",Unknown,unmarried,female,Delhi,311457
AAK,AAK@mail.com,4048323809,1797,Research,FALSE,TRUE,592,Coordinator,"7 Jul, 2015","20 Jul, 2015",Active,unmarried,female,Delhi,335395
AAJA,AAJA@mail.com,6200611015,1903,Umang,FALSE,TRUE,594,Senior Officer,"15 Jul, 2015","20 Jul, 2015",Active,unmarried,male,Delhi,169753
AAH,AAH@mail.com,3295384700,1999,School Coordination Dept,FALSE,TRUE,601,Senior Coordinator,"13 Jul, 2015","3 Aug, 2015",Active,married,female,Mumbai,350195
AAG,AAG@mail.com,5659512727,1880,Unnati,FALSE,TRUE,604,Coordinator,NA,"3 Aug, 2015",Active,unmarried,female,Pune,41278
AAF,AAF@mail.com,6695635182,1767,Parvarish,FALSE,TRUE,609,Senior Officer,NA,"10 Aug, 2015",Active,unmarried,male,Delhi,132616
AAD,AAD@mail.com,8193166398,1794,Umang,FALSE,TRUE,612,Senior Officer,"12 Aug, 2015","17 Aug, 2015",Active,unmarried,male,Bangalore,681047
AAS,AAS@mail.com,8942871492,1935,Health,FALSE,TRUE,617,Coordinator,NA,"1 Sep, 2015",Active,married,male,Mumbai,103250
AAAP,AAAP@mail.com,3454056934,1835,Volunteering,FALSE,TRUE,621,Assistant Manager,"14 Sep, 2015","15 Sep, 2015",Active,married,female,Mumbai,140317
AAO,AAO@mail.com,5606021670,1757,School Coordination Dept,FALSE,TRUE,628,Senior Officer,"5 Oct, 2015","6 Oct, 2015",Active,unmarried,female,Mumbai,409308
AAIU,AAIU@mail.com,3904008294,1890,Lead 1,FALSE,TRUE,640,Manager,NA,"9 Nov, 2015",Unknown,married,female,Bangalore,826601
AAY,AAY@mail.com,6473985994,1732,School Coordination Dept,FALSE,TRUE,646,Coordinator,"24 Oct, 2015","1 Dec, 2015",Active,married,female,Bangalore,19376
AAT,AAT@mail.com,3082141797,1947,Digital Learning Solutions,FALSE,TRUE,649,Senior Officer,NA,"1 Dec, 2015",Unknown,unmarried,female,Delhi,50557
AARA,AARA@mail.com,6367878735,1934,Excel,FALSE,TRUE,655,Senior Officer,"22 Dec, 2015","28 Dec, 2015",Active,unmarried,male,Mumbai,22903
AAE,AAE@mail.com,4839173676,1867,Excel,FALSE,TRUE,656,Assistant Manager,"22 Dec, 2015","1 Jan, 2016",Active,unmarried,male,Mumbai,110285
AAW,AAW@mail.com,3412116403,1735,Author: Transferred from Udaan to Health wef 1Apr20 Health,FALSE,TRUE,663,Senior Officer,"9 Feb, 2016","15 Feb, 2016",Unknown,unmarried,female,Delhi,799370
AAQQ,AAQQ@mail.com,9668487625,1841,Author: Transferred from udaan to hr 1Apr20 Digital Learning Solutions,FALSE,TRUE,664,Assistant Manager,"13 Feb, 2016","15 Feb, 2016",Active,unmarried,female,Mumbai,730520
BBA,BBA@mail.com,7998572224,1945,Parvarish,FALSE,TRUE,669,Senior Officer,"12 Mar, 2016","16 Mar, 2016",Active,unmarried,male,Delhi,223286
BBM,BBM@mail.com,8822097812,1997,Digital Learning Solutions,FALSE,TRUE,679,Senior Officer,"4 Apr, 2016","2 May, 2016",Active,unmarried,female,Delhi,728142
BBN,BBN@mail.com,1500765963,1732,Author: Transferred from Udaan to Research wef 1Apr20 Research,FALSE,TRUE,683,Senior Officer,NA,"1 Jun, 2016",Active,unmarried,male,Bangalore,13640
BBB,BBB@mail.com,9052836735,1713,Lead 2,FALSE,TRUE,686,Assistant Manager,NA,"1 Jun, 2016",Active,unmarried,female,Bangalore,333193
BBV,BBV@mail.com,7646051803,1809,Health,FALSE,TRUE,695,Senior Coordinator,NA,"13 Jun, 2016",Active,unmarried,female,Delhi,954294
BBX,BBX@mail.com,9471764428,1835,Umang,FALSE,TRUE,696,Senior Officer,NA,"14 Jun, 2016",Active,unmarried,male,Mumbai,26701
BBC,BBC@mail.com,4945733821,1987,IT,FALSE,TRUE,701,Senior Officer,NA,"21 Jun, 2016",Active,unmarried,male,Mumbai,366518
BBZ,BBZ@mail.com,8769374962,1737,Umang,FALSE,TRUE,704,Senior Officer,"27 Jun, 2016","1 Jul, 2016",Active,unmarried,male,Delhi,404820
BBL,BBL@mail.com,8256970389,1894,Health,FALSE,TRUE,706,Senior Officer,NA,"1 Jul, 2016",Active,unmarried,male,Bangalore,432545
BBK,BBK@mail.com,1420626615,1764,Umang,FALSE,TRUE,710,Coordinator,NA,"12 Jul, 2016",Active,unmarried,male,Mumbai,83176
BBJ,BBJ@mail.com,4028305464,1704,Umang,FALSE,TRUE,718,Officer,"22 Jul, 2016","25 Jul, 2016",Active,unmarried,male,Pune,808317
BBH,BBH@mail.com,7878991395,1701,IT,FALSE,TRUE,720,Coordinator,NA,"1 Aug, 2016",Active,unmarried,male,Mumbai,792313
BBG,BBG@mail.com,4174189824,1967,Health,FALSE,TRUE,722,Officer,NA,"1 Aug, 2016",Active,unmarried,female,Mumbai,202966
BBG,BBG@mail.com,8953494275,1844,Parvarish,FALSE,TRUE,724,Senior Coordinator,"15 Jul, 2016","2 Aug, 2016",Active,unmarried,female,Delhi,284556
BBF,BBF@mail.com,9631038004,1821,Parvarish,FALSE,TRUE,726,Senior Coordinator,"23 Jul, 2016","5 Aug, 2016",Active,married,female,Mumbai,977721
BBD,BBD@mail.com,9941308774,1904,Health,FALSE,TRUE,728,Senior Assistant Manager,NA,"8 Aug, 2016",Active,unmarried,male,Delhi,595558
BBS,BBS@mail.com,1927967573,1845,Umang,FALSE,TRUE,729,Officer,"2 Aug, 2016","8 Aug, 2016",Active,married,female,Delhi,658501
BBA,BBA@mail.com,5325602829,1744,Research,FALSE,TRUE,732,Manager,"9 Aug, 2016","16 Aug, 2016",Active,unmarried,male,Delhi,159795
BBP,BBP@mail.com,2777996621,1911,Centrailsed Content Team,FALSE,TRUE,738,Coordinator,"2 Aug, 2016","1 Sep, 2016",Active,unmarried,male,Delhi,147453
BBO,BBO@mail.com,4014584992,1741,Finance/Trust,FALSE,TRUE,743,Officer,NA,"16 Sep, 2016",Active,unmarried,female,Pune,424083
BBI,BBI@mail.com,8423704635,1950,Umang,FALSE,TRUE,748,Senior Officer,"21 Sep, 2016","1 Oct, 2016",Active,unmarried,female,Delhi,741800
BBU,BBU@mail.com,6640602889,1726,Finance/Trust,FALSE,TRUE,749,Senior Officer,"1 Oct, 2016","3 Oct, 2016",Active,unmarried,female,Delhi,766003
BBY,BBY@mail.com,4727622159,1721,School Coordination Dept,FALSE,TRUE,753,Coordinator,"5 Oct, 2016","10 Oct, 2016",Active,married,male,Mumbai,653892
BBT,BBT@mail.com,2101562889,1928,Parvarish,FALSE,TRUE,768,Senior Coordinator,"8 Dec, 2016","2 Jan, 2017",Active,unmarried,female,Delhi,85428
BBT,BBT@mail.com,8171516319,1833,Unnati,FALSE,TRUE,769,Coordinator,"6 Dec, 2016","6 Jan, 2017",Active,married,female,Delhi,129154
BBR,BBR@mail.com,9470540385,1741,Umang,FALSE,TRUE,773,Senior Officer,"18 Jan, 2017","23 Jan, 2017",Active,unmarried,female,Pune,166073
BBE,BBE@mail.com,5190983950,1878,Umang,FALSE,TRUE,778,Senior Officer,"10 Feb, 2017","13 Feb, 2017",Active,unmarried,female,Delhi,56070
BBW,BBW@mail.com,8440369092,1863,Excel,FALSE,TRUE,780,Coordinator,"15 Feb, 2017","23 Feb, 2017",Unknown,married,male,Bangalore,695115
BBQ,BBQ@mail.com,9060220665,1894,Umang,FALSE,TRUE,784,Senior Officer,"10 Mar, 2017","31 Mar, 2017",Unknown,unmarried,male,Bangalore,51662
CM,CM@mail.com,1391160429,1950,Umang,FALSE,TRUE,789,Senior Officer,NA,"3 May, 2017",Active,unmarried,female,Delhi,281330
CNC,CNC@mail.com,1814356802,1869,Guru,FALSE,TRUE,790,Coordinator,NA,"3 May, 2017",Active,unmarried,male,Mumbai,731599
CB,CB@mail.com,6260515641,1970,Whole School Turn Around Project,FALSE,TRUE,799,Coordinator,NA,"14 Jun, 2017",Active,unmarried,male,Mumbai,565413
CV,CV@mail.com,7572812518,1811,Unnati,FALSE,TRUE,804,Coordinator,"29 Jun, 2017","29 Jun, 2017",Active,married,male,Pune,135412
CX,CX@mail.com,4420403346,1810,Umang,FALSE,TRUE,812,Officer,"21 Jul, 2017","24 Jul, 2017",Active,married,male,Delhi,448602
CZ,CZ@mail.com,4762831762,2000,Umang,FALSE,TRUE,813,Officer,"20 Jul, 2017","24 Jul, 2017",Active,married,male,Delhi,96157
CP,CP@mail.com,4340493808,1975,Excel,FALSE,TRUE,816,Officer,"9 Aug, 2017","10 Aug, 2017",Active,unmarried,female,Bangalore,291986
CO,CO@mail.com,9061010026,1982,Umang,FALSE,TRUE,818,Officer,"21 Aug, 2017","22 Aug, 2017",Active,unmarried,male,Mumbai,171595
CI,CI@mail.com,6130189989,1844,Excel,FALSE,TRUE,830,Coordinator,"29 Sep, 2017","3 Oct, 2017",Active,unmarried,female,Delhi,806715
CUC,CUC@mail.com,5026601836,1806,Lead 1,FALSE,TRUE,831,Manager,NA,"5 Oct, 2017",Active,married,male,Mumbai,589710
CY,CY@mail.com,3170936081,1846,Health,FALSE,TRUE,832,Senior Officer,NA,"9 Oct, 2017",Active,unmarried,female,Delhi,264178
CT,CT@mail.com,8443021288,1928,Nirmaan,FALSE,TRUE,837,Coordinator,NA,"24 Oct, 2017",Active,unmarried,female,Pune,928637
CRC,CRC@mail.com,8351548261,1914,Lead 1,FALSE,TRUE,846,Coordinator,NA,"4 Dec, 2017",Active,unmarried,female,Mumbai,952568
CRT,CRT@mail.com,5088088484,1967,Unnati,FALSE,TRUE,849,Officer,"5 Dec, 2007","12 Dec, 2017",Active,unmarried,female,Pune,986074
CE,CE@mail.com,7601394169,1712,Health,FALSE,TRUE,852,Officer,NA,"21 Dec, 2017",Active,unmarried,female,Delhi,195986
CW,CW@mail.com,5505726537,1757,Finance/Trust,FALSE,TRUE,859,Manager,NA,"22 Jan, 2018",Unknown,unmarried,female,Mumbai,551911
CQ,CQ@mail.com,4521891778,1701,Finance/Trust,FALSE,TRUE,862,Chief Financial Officer,NA,"2 Feb, 2018",Active,unmarried,female,Pune,681925
XZW,XZW@mail.com,2169528509,1851,Health,FALSE,TRUE,864,Officer,NA,"5 Mar, 2018",Active,unmarried,female,Bangalore,413331
WET,WET@mail.com,6696123793,1808,Lead 1,FALSE,TRUE,865,Assistant Manager,NA,"12 Mar, 2018",Active,unmarried,female,Pune,170797
SFG,SFG@mail.com,2557776891,1842,Digital Learning Solutions,FALSE,TRUE,868,Officer,NA,"2 Apr, 2018",Active,married,male,Bangalore,782182
AWR,AWR@mail.com,4308625571,1905,Digital Learning Solutions,FALSE,TRUE,869,Officer,NA,"2 Apr, 2018",Active,unmarried,female,Bangalore,964588
AWR,AWR@mail.com,9327033233,1779,"Lead1&2, Guru, Umang, Digital Learning Solutions, Centrailsed Content Team, Excel",FALSE,TRUE,870,Project Head,"1 Feb, 2018","2 Apr, 2018",Active,married,female,Mumbai,380486
CGGH,CGGH@mail.com,5878209935,1958,Health,FALSE,TRUE,876,Officer,NA,"14 May, 2018",Active,unmarried,female,Pune,663642
"Author: Old name - Rakhi Manaji Mane, New name - Akshara change w.e.f Nov 2019 WRT","Author: Old name - Rakhi Manaji Mane, New name - Akshara change w.e.f Nov 2019 WRT@mail.com",2671470955,1966,Digital Learning Solutions,FALSE,TRUE,877,Officer,NA,"28 May, 2018",Active,unmarried,male,Mumbai,861742
AFGT/,AFGT/@mail.com,1374103309,1907,Parvarish,FALSE,TRUE,881,Officer,"19 Mar, 2018","1 Jun, 2018",Active,unmarried,female,Mumbai,237968
AFH,AFH@mail.com,7168442980,1997,Umang,FALSE,TRUE,884,Officer,"30 Apr, 2018","4 Jun, 2018",Active,unmarried,female,Mumbai,350915
ARGTV,ARGTV@mail.com,1824117824,1865,Unnati,FALSE,TRUE,885,Coordinator,NA,"4 Jun, 2018",Active,unmarried,male,Pune,100109
AEWQS,AEWQS@mail.com,4135321413,1941,Umang,FALSE,TRUE,888,Officer,"9 Jun, 2018","11 Jun, 2018",Active,unmarried,female,Pune,237201
AFGIK,AFGIK@mail.com,2589961825,1792,Umang,FALSE,TRUE,891,Coordinator,NA,"18 Jun, 2018",Active,married,female,Delhi,467015
DFG,DFG@mail.com,9048551422,1829,Parvarish,FALSE,TRUE,892,Officer,"23 Jun, 2018","25 Jun, 2018",Unknown,unmarried,male,Bangalore,475517
SWU,SWU@mail.com,1615671137,1740,Dept change wef 01st April 2021 -Aishwarya Abhijeet Chalke Digital Learning Solutions,FALSE,TRUE,893,Coordinator,NA,"2 Jul, 2018",Active,unmarried,female,Bangalore,651131
WDTT,WDTT@mail.com,2849332118,1762,Research,FALSE,TRUE,896,Assistant Manager,NA,"10 Jul, 2018",Active,unmarried,female,Bangalore,560051
AFGJ,AFGJ@mail.com,8197344148,1941,Umang,FALSE,TRUE,897,Officer,"6 Jul, 2018","11 Jul, 2018",Retired,unmarried,female,Bangalore,12111
FVGTH,FVGTH@mail.com,8736452427,1884,Volunteering,FALSE,TRUE,902,Officer,"2 Aug, 2018","6 Aug, 2018",Active,unmarried,male,Delhi,507969
RTY,RTY@mail.com,4574632523,1999,Communications,FALSE,TRUE,903,Coordinator,"3 Jul, 2018","6 Aug, 2018",Active,unmarried,female,Mumbai,707586
YRI,YRI@mail.com,7708927812,1914,Lead 1,FALSE,TRUE,910,Coordinator,NA,"10 Sep, 2018",Active,unmarried,male,Mumbai,940499
DTR,DTR@mail.com,4865718980,1708,Excel,FALSE,TRUE,913,Senior Assistant Manager,"15 Sep, 2018","25 Sep, 2018",Resigned,unmarried,female,Mumbai,709930
WERT,WERT@mail.com,8600313666,1955,Unnati,FALSE,TRUE,916,Officer,"13 Jun, 2018","1 Oct, 2018",Active,married,female,Bangalore,821219
POTRE,POTRE@mail.com,8685386858,1751,Guru,FALSE,TRUE,922,Coordinator,NA,"6 Oct, 2018",Active,unmarried,female,Mumbai,568165
WSKT,WSKT@mail.com,9385657743,1943,Umang,FALSE,TRUE,923,Officer,"4 Oct, 2018","8 Oct, 2018",Active,unmarried,female,Pune,106630
BOTR,BOTR@mail.com,9682467655,1869,Unnati,FALSE,TRUE,929,Officer,"31 Oct, 2018","1 Nov, 2018",Active,unmarried,female,Bangalore,665256
POBJ,POBJ@mail.com,7525922110,1924,Health,FALSE,TRUE,930,Officer,NA,"1 Nov, 2018",Active,unmarried,male,Bangalore,528224
STYVN,STYVN@mail.com,2275933756,1758,HR & Admin,FALSE,TRUE,932,Coordinator,NA,"12 Nov, 2018",Active,unmarried,female,Mumbai,87997
WQX,WQX@mail.com,1567695523,1780,Guru,FALSE,TRUE,933,Coordinator,NA,"19 Nov, 2018",Active,unmarried,male,Delhi,609681
PLMB,PLMB@mail.com,9174791656,1985,Digital Learning Solutions,FALSE,TRUE,936,Coordinator,"21 Nov, 2018","26 Nov, 2018",Active,unmarried,female,Delhi,864509
VTUI,VTUI@mail.com,9099095447,1816,Digital Learning Solutions,FALSE,TRUE,939,Officer,"1 Dec, 2018","3 Dec, 2018",Active,unmarried,female,Delhi,461049
ASDTB,ASDTB@mail.com,3909805805,1769,Umang,FALSE,TRUE,940,Coordinator,"24 Nov, 2018","3 Dec, 2018",Active,married,female,Mumbai,584422
CFBGTJH,CFBGTJH@mail.com,8337423463,1773,Umang,FALSE,TRUE,946,Senior Officer,"21 Nov, 2018","11 Dec, 2018",Active,married,male,Mumbai,27120
AQWRDERG,AQWRDERG@mail.com,3002602851,1790,Finance/Trust,FALSE,TRUE,947,Coordinator,NA,"11 Dec, 2018",Retired,married,male,Delhi,104119
